Data;Esteira 1;Esteira 7;Esteira 13;Esteira 19;Esteira 25;Esteira 31;Esteira 37;Esteira 46;Total;G1;G2;G3;G4;G5;G6;Total E1;G8;G9;G10;G11;G12;Total E7;G14;G15;G16;G17;G18;Total E13;G20;G21;G22;G23;G24;Total E19;G26;G27;G28;G29;G30;Total E25;G32;G33;G34;G35;G36;Total E31;G38;G39;G40;G41;G42;G43;G44;G45;Total E37;G47;G48;Total E46
11/03/2024 09:26;112033;165304;94762;108770;70083;97474;226971;146356;1021753;0;23106;17336;23251;20467;3328;87488;35513;26847;0;60670;1;123031;47716;7137;7428;20806;12406;95493;24827;45540;15949;5613;16663;108592;0;23096;13072;0;20651;56819;37870;0;0;3259;3089;44218;2419;6033;15031;13737;0;0;50245;94620;182085;20362;73419;93781
11/03/2024 09:54;114043;165779;96486;110799;78019;108005;248314;176501;1097946;0;23064;17594;23616;21454;3329;89057;35545;26980;0;60831;1;123357;48655;7114;7382;21259;12706;97116;25228;45826;16527;6289;16937;110807;0;23415;13331;0;24703;61449;38695;0;0;8011;10489;57195;87;6700;16596;22386;3101;0;58756;97959;205585;42342;78329;120671
11/03/2024 10:04;114043;165779;96486;110799;80254;117316;258431;187993;1131101;0;23064;17594;23616;21454;3329;89057;35545;26980;0;60831;1;123357;48655;7114;7382;21259;12706;97116;25228;45826;16527;6289;16937;110807;0;23024;14140;0;27362;64526;38890;0;0;10647;14285;63822;662;4576;22843;19982;9461;0;60919;98752;217195;50545;79932;130477
11/03/2024 10:14;114043;165779;96486;110799;85185;120291;270198;198559;1161340;0;23064;17594;23616;21454;3329;89057;35545;26980;0;60831;1;123357;48655;7114;7382;21259;12706;97116;25228;45826;16527;6289;16937;110807;0;23556;14927;0;33704;72187;38890;0;0;10681;14580;64151;1905;4835;22215;22500;13685;0;62454;99541;227135;58362;81082;139444
11/03/2024 10:24;114043;165779;96486;110799;92769;120291;279978;208252;1188397;0;23064;17594;23616;21454;3329;89057;35545;26980;0;60831;1;123357;48655;7114;7382;21259;12706;97116;25227;45827;16527;6289;16937;110807;0;23466;14954;0;38961;77381;38886;0;0;11935;14580;65401;2451;5063;24984;21835;18505;0;63912;100101;236851;63805;85146;148951
11/03/2024 10:34;114043;165779;96486;110799;94212;124314;288759;218064;1212456;0;23064;17594;23616;21454;3329;89057;35545;26980;0;60831;1;123357;48655;7114;7382;21259;12706;97116;25227;45827;16527;6289;16937;110807;0;23290;14559;0;40875;78724;38801;0;0;13028;18215;70044;2541;6656;26330;21985;22559;0;64649;100758;245478;71912;93543;165455
11/03/2024 11:17;114768;166263;97574;111724;108150;125957;306469;253739;1284644;0;22867;17185;24398;22052;3329;89831;35737;27000;0;61653;1;124391;47005;7510;7178;22367;13056;97116;26310;45608;17689;7493;17403;114503;0;23046;18356;0;51251;92653;38804;0;0;13038;18226;70068;3347;5710;29959;22116;29101;0;66782;101647;258662;79919;107921;187840
11/03/2024 11:27;117042;167364;99961;114923;108150;125957;306469;253739;1293605;0;23021;17710;24869;22976;3329;91905;35900;27209;0;61713;1;124823;50136;7732;7089;22412;13373;100742;25792;46069;17378;7917;17432;114588;0;23046;18356;0;51251;92653;38804;0;0;13038;18226;70068;3347;5710;29959;22116;29101;0;66782;101647;258662;79919;107921;187840
11/03/2024 11:37;120121;168320;102376;117751;108150;125957;306469;253739;1302883;0;23010;17775;26598;24675;3329;95387;36612;27256;0;62228;1;126097;49363;8690;6383;23714;14641;102791;25293;46425;18199;9327;18164;117408;0;23046;18356;0;51251;92653;38804;0;0;13038;18226;70068;3347;5710;29959;22116;29101;0;66782;101647;258662;79919;107921;187840
11/03/2024 11:47;125035;172372;106579;118607;108150;125957;306469;253739;1316908;0;23162;17779;28731;26863;3329;99864;38756;27185;0;63941;1;129883;48479;10030;5843;26299;16743;107394;24682;46864;18412;9886;18447;118291;0;23046;18356;0;51251;92653;38804;0;0;13038;18226;70068;3347;5710;29959;22116;29101;0;66782;101647;258662;79919;107921;187840
